adm_1_name,Year,Month,YearMonth,dengue_total_month
BAC NINH,2005,3,2005-03-01,0.0
BEN TRE,2005,3,2005-03-01,137.0
BINH DINH,2005,3,2005-03-01,14.0
BINH DUONG,2005,3,2005-03-01,11.0
BINH PHUOC,2005,3,2005-03-01,28.0
BINH THUAN,2005,3,2005-03-01,92.0
CA MAU,2005,3,2005-03-01,35.0
CAN THO CITY,2005,3,2005-03-01,103.0
CAO BANG,2005,3,2005-03-01,0.0
DA NANG CITY,2005,3,2005-03-01,0.0
DAK LAK,2005,3,2005-03-01,6.0
DAK NONG,2005,3,2005-03-01,0.0
DIEN BIEN,2005,3,2005-03-01,4.0
DONG NAI,2005,3,2005-03-01,66.0
DONG THAP,2005,3,2005-03-01,204.0
GIA LAI,2005,3,2005-03-01,11.0
HA GIANG,2005,3,2005-03-01,0.0
HA NAM,2005,3,2005-03-01,0.0
HA NOI CITY,2005,3,2005-03-01,14.0
HA TAY,2005,3,2005-03-01,2.0
HA TINH,2005,3,2005-03-01,0.0
HAI DUONG,2005,3,2005-03-01,0.0
HAI PHONG CITY,2005,3,2005-03-01,1.0
HAU GIANG,2005,3,2005-03-01,38.0
HO CHI MINH CITY,2005,3,2005-03-01,208.0
HOA BINH,2005,3,2005-03-01,0.0
HUNG YEN,2005,3,2005-03-01,0.0
KHANH HOA,2005,3,2005-03-01,63.0
KIEN GIANG,2005,3,2005-03-01,62.0
KON TUM,2005,3,2005-03-01,0.0
LAI CHAU,2005,3,2005-03-01,0.0
LAM DONG,2005,3,2005-03-01,1.0
LANG SON,2005,3,2005-03-01,0.0
LAO CAI,2005,3,2005-03-01,0.0
LONG AN,2005,3,2005-03-01,16.0
NAM DINH,2005,3,2005-03-01,0.0
NGHE AN,2005,3,2005-03-01,0.0
NINH BINH,2005,3,2005-03-01,2.0
NINH THUAN,2005,3,2005-03-01,4.0
PHU THO,2005,3,2005-03-01,2.0
PHU YEN,2005,3,2005-03-01,14.0
QUANG BINH,2005,3,2005-03-01,2.0
QUANG NAM,2005,3,2005-03-01,0.0
QUANG NGAI,2005,3,2005-03-01,0.0
QUANG NINH,2005,3,2005-03-01,0.0
QUANG TRI,2005,3,2005-03-01,0.0
SOC TRANG,2005,3,2005-03-01,114.0
SON LA,2005,3,2005-03-01,4.0
TAY NINH,2005,3,2005-03-01,9.0
THAI BINH,2005,3,2005-03-01,0.0
THAI NGUYEN,2005,3,2005-03-01,0.0
THANH HOA,2005,3,2005-03-01,0.0
THUA THIEN - HUE,2005,3,2005-03-01,0.0
TIEN GIANG,2005,3,2005-03-01,154.0
TRA VINH,2005,3,2005-03-01,30.0
TUYEN QUANG,2005,3,2005-03-01,0.0
VINH LONG,2005,3,2005-03-01,38.0
VINH PHUC,2005,3,2005-03-01,0.0
YEN BAI,2005,3,2005-03-01,0.0
AN GIANG,2005,4,2005-04-01,231.0
BA RIA-VUNG TAU,2005,4,2005-04-01,3.0
BAC GIANG,2005,4,2005-04-01,0.0
BAC KAN,2005,4,2005-04-01,0.0
BAC LIEU,2005,4,2005-04-01,68.0
BAC NINH,2005,4,2005-04-01,1.0
BEN TRE,2005,4,2005-04-01,103.0
BINH DINH,2005,4,2005-04-01,4.0
BINH DUONG,2005,4,2005-04-01,6.0
BINH PHUOC,2005,4,2005-04-01,16.0
BINH THUAN,2005,4,2005-04-01,108.0
CA MAU,2005,4,2005-04-01,16.0
CAN THO CITY,2005,4,2005-04-01,113.0
CAO BANG,2005,4,2005-04-01,0.0
DA NANG CITY,2005,4,2005-04-01,0.0
DAK LAK,2005,4,2005-04-01,14.0
DAK NONG,2005,4,2005-04-01,0.0
DIEN BIEN,2005,4,2005-04-01,0.0
DONG NAI,2005,4,2005-04-01,47.0
DONG THAP,2005,4,2005-04-01,272.0
GIA LAI,2005,4,2005-04-01,5.0
HA GIANG,2005,4,2005-04-01,0.0
HA NAM,2005,4,2005-04-01,0.0
HA NOI CITY,2005,4,2005-04-01,9.0
HA TAY,2005,4,2005-04-01,0.0
HA TINH,2005,4,2005-04-01,0.0
HAI DUONG,2005,4,2005-04-01,0.0
HAI PHONG CITY,2005,4,2005-04-01,0.0
HAU GIANG,2005,4,2005-04-01,43.0
HO CHI MINH CITY,2005,4,2005-04-01,386.0
